General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\WM Uniaxial Tensile.im_tens","7/14/2020 4:29 PM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 2-104_20211102_161137.is_tens","wm 2-104-1","<None>","<None>","","10","10.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's)
,,,,(mm),(mm),(mm),(MPa)
1,"<None>","1","<None>","14.18","1.07","1.58","11.21"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-5.1041"
"0.020000","0.00000","-4.3038"
"0.040000","0.000059069","-3.8528"
"0.060000","0.0023190","9.1240"
"0.080000","0.014561","44.426"
"0.10000","0.030265","84.780"
"0.12000","0.052875","145.10"
"0.14000","0.085858","219.61"
"0.16000","0.12107","286.80"
"0.18000","0.15286","339.68"
"0.20000","0.18160","382.04"
"0.22000","0.20948","425.46"
"0.24000","0.23841","469.65"
"0.26000","0.26800","511.47"
"0.28000","0.29726","551.84"
"0.30000","0.32595","588.56"
"0.32000","0.35451","623.88"
"0.34000","0.38310","659.08"
"0.36000","0.41157","691.23"
"0.38000","0.43984","723.28"
"0.40000","0.46776","753.30"
"0.42000","0.49563","782.27"
"0.44000","0.52361","811.95"
"0.46000","0.55199","841.33"
"0.48000","0.58071","871.52"
"0.50000","0.60952","900.74"
"0.52000","0.63795","927.45"
"0.54000","0.66623","954.93"
"0.56000","0.69471","982.72"
"0.57000","0.70904","995.76"
"0.57100","0.71047","997.06"
"0.59100","0.73799","1014.1"
"0.61100","0.75091","988.49"
"0.63100","0.74016","929.34"
"0.65100","0.72024","868.31"
"0.67100","0.69485","800.90"
"0.69100","0.66292","730.37"
"0.71100","0.62983","667.38"
"0.73100","0.59921","614.23"
"0.75100","0.57006","565.47"
"0.77100","0.54110","517.70"
"0.79100","0.51228","472.09"
"0.81100","0.48393","428.68"
"0.83100","0.45572","384.97"
"0.85100","0.42736","341.77"
"0.87100","0.39868","299.03"
"0.89100","0.36987","255.70"
"0.91100","0.34109","213.98"
"0.93100","0.31240","172.56"
"0.95100","0.28370","131.33"
"0.97100","0.25518","91.750"
"0.99100","0.22686","52.638"
"1.0110","0.19856","13.746"
"1.0310","0.17057","-23.182"
"1.0510","0.14314","-60.179"
"1.0710","0.11510","-98.579"
"1.0910","0.086230","-138.64"
"1.1110","0.057258","-177.53"
"1.1310","0.028667","-214.38"
"1.1510","0.00032314","-251.66"
"1.1520","-0.0010883","-253.46"
"1.1530","-0.0024992","-255.25"
"1.1730","-0.029750","-281.50"
"1.1930","-0.042838","-260.53"
"1.2130","-0.032356","-201.22"
"1.2330","-0.013311","-136.97"
"1.2530","0.011651","-65.017"
"1.2730","0.043601","10.693"
"1.2930","0.077031","80.025"
"1.3130","0.10835","137.58"
"1.3330","0.13785","188.38"
"1.3530","0.16653","236.36"
"1.3730","0.19429","280.16"
"1.3930","0.22244","326.22"
"1.4130","0.25151","372.07"
"1.4330","0.28089","415.64"
"1.4530","0.30989","458.52"
"1.4730","0.33862","498.27"
"1.4930","0.36723","537.92"
"1.5130","0.39586","576.69"
"1.5330","0.42430","612.79"
"1.5530","0.45249","649.21"
"1.5730","0.48034","683.28"
"1.5930","0.50829","716.88"
"1.6130","0.53643","752.20"
"1.6330","0.56498","785.68"
"1.6530","0.59375","820.31"
"1.6730","0.62240","853.06"
"1.6930","0.65073","883.76"
"1.7130","0.67909","915.45"
"1.7330","0.70768","945.94"
"1.7340","0.70911","947.44"
"1.7350","0.71054","948.93"
"1.7550","0.73803","969.35"
"1.7750","0.75095","946.74"
"1.7950","0.74018","889.53"
"1.8150","0.72028","829.91"
"1.8350","0.69492","763.62"
"1.8550","0.66300","693.54"
"1.8750","0.62990","631.73"
"1.8950","0.59927","578.42"
"1.9150","0.57013","529.72"
"1.9350","0.54116","483.13"
"1.9550","0.51233","437.41"
"1.9750","0.48399","394.04"
"1.9950","0.45578","351.47"
"2.0150","0.42742","308.39"
"2.0350","0.39873","265.77"
"2.0550","0.36992","223.16"
"2.0750","0.34115","181.60"
"2.0950","0.31244","140.64"
"2.1150","0.28377","100.10"
"2.1350","0.25526","61.192"
"2.1550","0.22691","22.401"
"2.1750","0.19866","-16.186"
"2.1950","0.17070","-52.102"
"2.2150","0.14325","-88.302"
"2.2350","0.11516","-126.75"
"2.2550","0.086286","-165.13"
"2.2750","0.057349","-203.49"
"2.2950","0.028751","-240.17"
"2.3150","0.00034476","-275.46"
"2.3160","-0.0010703","-277.24"
"2.3170","-0.0024847","-279.03"
"2.3370","-0.029789","-304.53"
"2.3570","-0.042889","-282.95"
"2.3770","-0.032339","-222.92"
"2.3970","-0.013245","-158.40"
"2.4170","0.011705","-86.614"
"2.4370","0.043687","-11.039"
"2.4570","0.077153","57.865"
"2.4770","0.10842","114.99"
"2.4970","0.13786","165.83"
"2.5170","0.16652","213.48"
"2.5370","0.19429","257.57"
"2.5570","0.22242","302.85"
"2.5770","0.25149","348.50"
"2.5970","0.28087","392.65"
"2.6170","0.30990","434.48"
"2.6370","0.33864","474.88"
"2.6570","0.36725","514.49"
"2.6770","0.39587","553.09"
"2.6970","0.42429","590.12"
"2.7170","0.45246","625.82"
"2.7370","0.48032","660.42"
"2.7570","0.50828","695.00"
"2.7770","0.53643","729.95"
"2.7970","0.56498","764.76"
"2.8170","0.59373","799.47"
"2.8370","0.62238","832.63"
"2.8570","0.65072","864.45"
"2.8770","0.67910","896.48"
"2.8970","0.70770","927.95"
"2.8980","0.70913","929.47"
"2.8990","0.71055","930.98"
"2.9190","0.73802","951.61"
"2.9390","0.75093","929.66"
"2.9590","0.74020","873.25"
"2.9790","0.72035","813.40"
"2.9990","0.69497","747.48"
"3.0190","0.66304","677.71"
"3.0390","0.62994","615.66"
"3.0590","0.59927","562.70"
"3.0790","0.57012","514.42"
"3.0990","0.54120","467.66"
"3.1190","0.51238","422.19"
"3.1390","0.48400","378.71"
"3.1590","0.45578","336.20"
"3.1790","0.42744","293.14"
"3.1990","0.39875","250.85"
"3.2190","0.36995","208.63"
"3.2390","0.34116","167.11"
"3.2590","0.31244","126.66"
"3.2790","0.28378","86.122"
"3.2990","0.25528","46.778"
"3.3190","0.22694","8.4398"
"3.3390","0.19869","-29.491"
"3.3590","0.17073","-65.403"
"3.3790","0.14329","-101.68"
"3.3990","0.11520","-139.55"
"3.4190","0.086314","-177.95"
"3.4390","0.057367","-215.90"
"3.4590","0.028768","-251.67"
"3.4790","0.00038339","-286.80"
"3.4800","-0.0010308","-288.56"
"3.4810","-0.0024445","-290.33"
"3.5010","-0.029771","-316.29"
"3.5210","-0.042907","-294.15"
"3.5410","-0.032372","-233.77"
"3.5610","-0.013279","-169.92"
"3.5810","0.011717","-97.217"
"3.6010","0.043723","-21.379"
"3.6210","0.077161","46.642"
"3.6410","0.10841","104.23"
"3.6610","0.13784","154.64"
"3.6810","0.16648","202.17"
"3.7010","0.19424","245.74"
"3.7210","0.22238","291.16"
